top	sub
1403.4427	1406.5375
hep-ph/0405247	1406.5375
hep-ph/0603019	1208.6463
hep-th/0003188	0705.3906
gr-qc/0406008	gr-qc/0601134
gr-qc/0110034	gr-qc/0601134
hep-th/0403115	hep-th/0405086
hep-th/0403047	hep-th/0405086
0802.1529	0810.1055
1511.02434	1609.06199
hep-th/9512060	hep-th/9703007
hep-ph/0209094	astro-ph/0304462
1106.4543	1507.08292
1403.1965	1508.06923
1009.5178	1209.2436
0911.2025	1209.2436
1101.2082	1209.2436
hep-th/0408073	1704.08003
hep-th/0003221	1704.08003
1301.2234	1401.0139
1702.03163	1711.07942
1703.05717	1711.07942
gr-qc/0411006	physics/0503042
